DATE,BRKA
1990-01,-0.14063400576368867
1990-02,-0.03085177733065103
1990-03,-0.06920415224913501
1990-04,-0.0037174721189591198
1990-05,0.0671641791044777
1990-06,0.006993006993006867
1990-07,-0.02777777777777779
1990-08,-0.08571428571428519
1990-09,-0.08203124999999989
1990-10,0.012765957446808418
1990-11,0.06638655462184895
1990-12,0.052009456264775045
1991-01,0.10861423220973787
1991-02,0.09121621621621623
1991-03,-0.006191950464396356
1991-04,0.01246105919003071
1991-05,0.07692307692307643
1991-06,-0.04000000000000015
1991-07,0.014880952380952328
1991-08,0.029325513196481134
1991-09,0.011396011396011207
1991-10,-0.034366197183098524
1991-11,-0.025670945157526104
1991-12,0.08383233532934153
1992-01,-0.022099447513812098
1992-02,-0.014124293785310882
1992-03,0.025787965616046016
1992-04,0.01955307262569783
1992-05,-0.00273972602739736
1992-06,0.013736263736263687
1992-07,0.03252032520325221
1992-08,-0.04199475065616787
1992-09,0.03013698630136985
1992-10,0.007978723404255428
1992-11,0.13192612137203197
1992-12,0.095571095571096
1993-01,0.0297872340425529
1993-02,0.030991735537190257
1993-03,0.02204408817635284
1993-04,-0.007843137254902044
1993-05,0.18577075098814233
1993-06,0.026666666666666616
1993-07,0.03896103896103886
1993-08,0.09531249999999991
1993-09,-0.04850213980028528
1993-10,0.03448275862068906
1993-11,-3.3306690738754696e-16
1993-12,-0.05362318840579705
1994-01,-0.007656967840735551
1994-02,-0.04629629629629628
1994-03,0.030744336569579866
1994-04,0.010989010989010506
1994-05,2.220446049250313e-16
1994-06,6.661338147750939e-16
1994-07,0.21739130434782616
1994-08,-0.025510204081632737
1994-09,-0.007853403141361182
1994-10,0.06860158311345566
1994-11,0.013580246913580174
1994-12,-0.006090133982947332
1995-01,0.20588235294117618
1995-02,-0.0945121951219513
1995-03,0.016835016835016647
1995-04,-0.04635761589403942
1995-05,0.0509259259259256
1995-06,0.03303964757709221
1995-07,0.05543710021321968
1995-08,0.03030303030302961
1995-09,0.15294117647058858
1995-10,0.0034013605442171357
1995-11,0.06101694915254252
1995-12,0.025559105431309792
1996-01,-0.006230529595015355
1996-02,0.11285266457680243
1996-03,-0.04647887323943656
1996-04,-0.010339734121122546
1996-05,-0.08955223880597041
1996-06,0.0065573770491809125
1996-07,0.006514657980455585
1996-08,0.012944983818770517
1996-09,0.02715654952076707
1996-10,0.007776049766718529
1996-11,0.024691358024691024
1996-12,0.027108433734939652
1997-01,0.02052785923753664
1997-02,0.020114942528734803
1997-03,0.019718309859154903
1997-04,0.04972375690607689
1997-05,0.13157894736842124
1997-06,0.09767441860465098
1997-07,-1.1102230246251565e-16
1997-08,-0.12076271186440668
1997-09,0.07951807228915664
1997-10,-0.02455357142857173
1997-11,0.03661327231121336
1997-12,0.015452538631346213
1998-01,0.09347826086956612
1998-02,0.10934393638170858
1998-03,0.20430107526881747
1998-04,0.02083333333333237
1998-05,0.03061224489795955
1998-06,0.10756718528995735
1998-07,-0.10471872805057125
1998-08,-0.13700877255545274
1998-09,-0.014876033057851568
1998-10,0.08221476510067127
1998-11,0.052713178294574226
1998-12,0.030927835051546282
1999-01,-0.07142857142857106
1999-02,0.09384615384615391
1999-03,0.0042194092827008145
1999-04,0.07002801120448177
1999-05,-0.057591623036649
1999-06,-0.0430555555555554
1999-07,-0.015892597968069633
1999-08,-0.05316717056264242
1999-09,-0.14330218068535816
1999-10,0.16181818181818164
1999-11,-0.10328638497652587
1999-12,-0.020942408376963484
2000-01,-0.08734402852049927
2000-02,-0.1406250000000001
2000-03,0.30000000000000004
2000-04,0.036713286713286664
2000-05,-0.011804384485665564
2000-06,-0.08191126279863503
2000-07,0.024163568773234223
2000-08,0.04718693284936459
2000-09,0.11611785095320637
2000-10,-0.010869565217391686
2000-11,0.03453689167974927
2000-12,0.07738998482549309
2001-01,-0.03661971830985922
2001-02,0.027777777777778345
2001-03,-0.06899004267425335
2001-04,0.03896103896103886
2001-05,0.010294117647058565
2001-06,0.010189228529839722
2001-07,-0.0028818443804035088
2001-08,0.0028901734104052057
2001-09,0.008645533141210526
2001-10,0.017142857142857126
2001-11,-0.016853932584269038
2001-12,0.08000000000000007
2002-01,-0.022486772486772777
2002-02,-0.012178619756427977
2002-03,-0.026027397260274032
2002-04,0.03305203938115353
2002-05,0.015656909462219426
2002-06,-0.10455764075067042
2002-07,0.022455089820359264
2002-08,0.06881405563689635
2002-09,0.012328767123287676
2002-10,0.003924221921516091
2002-11,-0.025475131419328778
2002-12,0.006224066390041694
2003-01,-0.07079037800687304
2003-02,-0.08727810650887591
2003-03,0.03403565640194528
2003-04,0.09427899686520402
2003-05,0.016973429778700533
2003-06,0.021126760563380254
2003-07,-0.006758620689655159
2003-08,0.052284404943757634
2003-09,-0.010227647641042448
2003-10,0.03746666666666654
2003-11,0.07633980208199453
2003-12,0.005970149253731627
2004-01,0.06219584569732972
2004-02,0.05598390881662718
2004-03,-0.012698412698412986
2004-04,0.0009646302250805316
2004-05,-0.04700717421565448
2004-06,-0.0005617977528084017
2004-07,-0.01911186059584058
2004-08,-0.002865329512894421
2004-09,-0.004022988505747005
2004-10,-0.027697634160415263
2004-11,-0.006528189910978921
2004-12,0.05017921146953386
2005-01,0.022753128555176527
2005-02,0.0033370411568405256
2005-03,-0.035476718403547935
2005-04,-0.030459770114942497
2005-05,-0.0029638411381147645
2005-06,-0.007134363852556724
2005-07,0.0
2005-08,-0.004191616766467177
2005-09,-0.013830426939266172
2005-10,0.04756097560975592
2005-11,0.040628637951105606
2005-12,-0.008613938919342035
