Date	S&P Price	Dividend	Earnings	CPI	DateFraction	Long Interest Rate GS10	Real Price	Real Dividend	Real Total Return Price	Real Earnings	Real TR Scaled Earnings	CAPE	TR CAPE	Excess CAPE Yield	Monthly Total Bond Returns	Real Total Bond Returns	10 Year Annualized Stock Real Return	10 Year Annualized Bonds Real Return	Real 10 Year Excess Annualized Returns
1873.08	4.97	0.32	0.45	12.56	1873.63	5.52	102.93	6.63	 119.28 	9.32	 10.80 	NA		NA			1.01	1.12	10.48%	9.17%	1.31%				
1873.09	4.59	0.32	0.45	12.56	1873.71	5.51	95.06	6.68	 110.80 	9.37	 10.92 	NA		NA			1.01	1.13	11.59%	9.26%	2.33%				
1873.1	4.19	0.33	0.46	12.27	1873.79	5.50	88.80	6.89	 104.17 	9.64	 11.31 	NA		NA			1.01	1.16	12.02%	8.99%	3.04%				
1873.11	4.04	0.33	0.46	11.89	1873.88	5.49	88.36	7.16	 104.35 	10.01	 11.82 	NA		NA			1.01	1.21	12.34%	8.73%	3.61%				
1873.12	4.42	0.33	0.46	12.18	1873.96	5.48	94.40	7.05	 112.19 	9.82	 11.68 	NA		NA			1.01	1.18	11.23%	8.85%	2.37%				
1874.01	4.66	0.33	0.46	12.37	1874.04	5.47	98.00	6.94	 117.15 	9.67	 11.56 	NA		NA			1.01	1.17	10.47%	9.00%	1.47%				
1874.02	4.80	0.33	0.46	12.37	1874.13	5.44	100.94	6.94	 121.36 	9.67	 11.63 	NA		NA			1.01	1.18	10.43%	8.96%	1.47%				
1874.03	4.73	0.33	0.46	12.37	1874.21	5.40	99.47	6.94	 120.28 	9.67	 11.70 	NA		NA			1.01	1.19	10.54%	8.92%	1.62%				
1874.04	4.60	0.33	0.46	12.18	1874.29	5.37	98.25	7.05	 119.51 	9.82	 11.95 	NA		NA			1.01	1.22	10.39%	8.95%	1.44%				
1874.05	4.48	0.33	0.46	12.08	1874.38	5.34	96.44	7.10	 118.03 	9.90	 12.12 	NA		NA			1.01	1.23	9.89%	9.06%	0.84%				
1874.06	4.46	0.33	0.46	11.80	1874.46	5.30	98.33	7.28	 121.09 	10.14	 12.49 	NA		NA			1.01	1.27	9.22%	8.76%	0.46%				
1874.07	4.46	0.33	0.46	11.89	1874.54	5.27	97.54	7.22	 120.86 	10.06	 12.47 	NA		NA			1.01	1.27	9.43%	8.93%	0.50%				
1874.08	4.47	0.33	0.46	11.80	1874.63	5.24	98.55	7.28	 122.86 	10.14	 12.64 	NA		NA			1.01	1.29	9.98%	8.81%	1.17%				
1874.09	4.54	0.33	0.46	11.80	1874.71	5.20	100.09	7.28	 125.54 	10.14	 12.72 	NA		NA			1.01	1.30	9.57%	8.89%	0.68%				
1874.1	4.53	0.33	0.46	11.61	1874.79	5.17	101.51	7.39	 128.09 	10.31	 13.01 	NA		NA			1.01	1.33	9.17%	8.80%	0.37%				
1874.11	4.57	0.33	0.46	11.51	1874.88	5.14	103.25	7.46	 131.07 	10.39	 13.19 	NA		NA			1.01	1.35	9.01%	8.92%	0.09%				
1874.12	4.54	0.33	0.46	11.51	1874.96	5.10	102.57	7.46	 131.00 	10.39	 13.27 	NA		NA			1.01	1.36	9.18%	9.01%	0.17%				
1875.01	4.54	0.33	0.45	11.51	1875.04	5.07	102.57	7.40	 131.79 	10.21	 13.11 	NA		NA			1.01	1.37	8.92%	8.97%	-0.05%				
1875.02	4.53	0.33	0.44	11.51	1875.13	5.03	102.35	7.34	 132.29 	10.02	 12.95 	NA		NA			1.01	1.38	9.15%	8.81%	0.34%				
1875.03	4.59	0.32	0.44	11.51	1875.21	4.99	103.70	7.29	 134.82 	9.83	 12.78 	NA		NA			1.01	1.39	9.28%	9.03%	0.25%				
1875.04	4.65	0.32	0.43	11.61	1875.29	4.95	104.20	7.17	 136.24 	9.56	 12.50 	NA		NA			1.01	1.39	9.07%	8.95%	0.12%				
1875.05	4.47	0.32	0.42	11.32	1875.38	4.91	102.69	7.29	 135.06 	9.61	 12.64 	NA		NA			1.01	1.43	9.35%	8.90%	0.45%				
1875.06	4.38	0.32	0.41	11.13	1875.46	4.87	102.34	7.36	 135.41 	9.58	 12.68 	NA		NA			1.01	1.47	9.59%	8.94%	0.65%				
1875.07	4.39	0.31	0.40	11.13	1875.54	4.83	102.58	7.30	 136.53 	9.39	 12.49 	NA		NA			1.01	1.48	9.83%	8.77%	1.05%				
