Month	Year	Fractional Date	Excel Date	CPI-Price	SPX-TR-Price	10Y BM-Price	Cash-Price	Non-US Stocks (NEW)-Price	Gold-Price	CAPE	SPX-TR	10Y BM	Cash	Non-US Stocks (NEW)	Custum Series (NEW)	Gold
7	1909	1,909.50	8/31/1909	9.419	1,332.53	436.38	713.32	1,332.53	20.67	15.2315	1.78%	-0.34%	0.30%	1.78%	0.00%	0.00%
8	1909	1,909.58	9/30/1909	9.515	1,369.28	431.69	715.49	1,369.28	20.67	15.4176	1.73%	-2.06%	-0.70%	1.73%	0.00%	-1.00%
9	1909	1,909.67	10/31/1909	9.610	1,375.31	429.27	717.67	1,375.31	20.67	15.2544	-0.55%	-1.54%	-0.69%	-0.55%	0.00%	-0.99%
10	1909	1,909.75	11/30/1909	9.800	1,385.42	430.94	719.85	1,385.42	20.67	14.9888	-1.22%	-1.56%	-1.64%	-1.22%	0.00%	-1.94%
11	1909	1,909.83	12/31/1909	9.895	1,383.37	427.37	722.04	1,383.37	20.67	14.7456	-1.11%	-1.78%	-0.66%	-1.11%	0.00%	-0.96%
12	1909	1,909.92	1/31/1910	9.990	1,404.54	426.97	724.24	1,404.54	20.67	14.7506	0.56%	-1.05%	-0.65%	0.56%	0.00%	-0.95%
1	1910	1,910.00	2/28/1910	9.895	1,379.35	425.44	727.41	1,379.35	20.67	14.5479	-0.85%	0.60%	1.40%	-0.85%	0.00%	0.96%
2	1910	1,910.08	3/31/1910	9.895	1,334.94	426.67	730.60	1,334.94	20.67	14.0020	-3.22%	0.29%	0.44%	-3.22%	0.00%	0.00%
3	1910	1,910.17	4/30/1910	10.085	1,372.84	426.05	733.80	1,372.84	20.67	14.0500	0.90%	-2.03%	-1.46%	0.90%	0.00%	-1.89%
4	1910	1,910.25	5/31/1910	10.181	1,344.69	427.29	737.02	1,344.69	20.67	13.5599	-2.97%	-0.65%	-0.50%	-2.97%	0.00%	-0.93%
5	1910	1,910.33	6/30/1910	9.990	1,327.52	427.60	740.25	1,327.52	20.67	13.5688	0.60%	1.98%	2.35%	0.60%	0.00%	1.90%
6	1910	1,910.42	7/31/1910	9.895	1,268.74	429.78	743.49	1,268.74	20.67	13.0197	-3.51%	1.48%	1.40%	-3.51%	0.00%	0.96%
7	1910	1,910.50	8/31/1910	9.895	1,209.74	431.26	746.75	1,209.74	20.67	12.3426	-4.65%	0.35%	0.44%	-4.65%	0.00%	0.00%
8	1910	1,910.58	9/30/1910	9.800	1,244.32	433.21	750.03	1,244.32	20.67	12.7451	3.86%	1.43%	1.41%	3.86%	0.00%	0.97%
9	1910	1,910.67	10/31/1910	9.705	1,258.05	436.35	753.31	1,258.05	20.67	12.9372	2.09%	1.71%	1.42%	2.09%	0.00%	0.98%
10	1910	1,910.75	11/30/1910	9.419	1,321.27	437.61	756.61	1,321.27	20.67	13.9189	8.21%	3.33%	3.48%	8.21%	0.00%	3.03%
11	1910	1,910.83	12/31/1910	9.229	1,325.21	438.88	759.93	1,325.21	20.67	14.1645	2.37%	2.36%	2.51%	2.37%	0.00%	2.06%
12	1910	1,910.92	1/31/1911	9.229	1,293.60	439.19	763.26	1,293.60	20.67	13.7415	-2.39%	0.07%	0.44%	-2.39%	0.00%	0.00%
1	1911	1,911.00	2/28/1911	9.229	1,330.63	440.47	765.81	1,330.63	20.67	14.0492	2.86%	0.29%	0.33%	2.86%	0.00%	0.00%
2	1911	1,911.08	3/31/1911	8.944	1,359.21	446.06	768.36	1,359.21	20.67	14.7215	5.41%	4.50%	3.54%	5.41%	0.00%	3.19%
3	1911	1,911.17	4/30/1911	9.039	1,348.81	447.34	770.92	1,348.81	20.67	14.3706	-1.81%	-0.77%	-0.72%	-1.81%	0.00%	-1.05%
4	1911	1,911.25	5/31/1911	8.753	1,348.50	446.92	773.49	1,348.50	20.67	14.7529	3.24%	3.16%	3.60%	3.24%	0.00%	3.26%
5	1911	1,911.33	6/30/1911	8.753	1,383.08	441.69	776.07	1,383.08	20.67	15.0477	2.56%	-1.17%	0.33%	2.56%	0.00%	0.00%
6	1911	1,911.42	7/31/1911	8.753	1,416.33	444.45	778.66	1,416.33	20.67	15.3284	2.40%	0.62%	0.33%	2.40%	0.00%	0.00%
7	1911	1,911.50	8/31/1911	8.849	1,415.99	445.74	781.25	1,415.99	20.67	15.0831	-1.10%	-0.79%	-0.74%	-1.10%	0.00%	-1.07%
8	1911	1,911.58	9/30/1911	9.134	1,353.91	444.11	783.86	1,353.91	20.67	13.8998	-7.37%	-3.48%	-2.80%	-7.37%	0.00%	-3.13%
9	1911	1,911.67	10/31/1911	9.229	1,285.64	444.91	786.47	1,285.64	20.67	12.9980	-6.02%	-0.85%	-0.70%	-6.02%	0.00%	-1.03%
10	1911	1,911.75	11/30/1911	9.229	1,298.62	446.22	789.09	1,298.62	20.67	13.0665	1.01%	0.29%	0.33%	1.01%	0.00%	0.00%
11	1911	1,911.83	12/31/1911	9.134	1,356.32	446.56	791.72	1,356.32	20.67	13.7280	5.53%	1.12%	1.38%	5.53%	0.00%	1.04%
12	1911	1,911.92	1/31/1912	9.039	1,367.92	447.38	794.36	1,367.92	20.67	13.9293	1.92%	1.24%	1.39%	1.92%	0.00%	1.05%
1	1912	1,912.00	2/29/1912	9.134	1,374.95	449.18	797.24	1,374.95	20.67	13.7950	-0.53%	-0.64%	-0.68%	-0.53%	0.00%	-1.04%
2	1912	1,912.08	3/31/1912	9.229	1,368.47	451.48	800.13	1,368.47	20.67	13.5316	-1.50%	-0.52%	-0.67%	-1.50%	0.00%	-1.03%
3	1912	1,912.17	4/30/1912	9.419	1,413.59	454.30	803.03	1,413.59	20.67	13.6398	1.21%	-1.41%	-1.67%	1.21%	0.00%	-2.02%
4	1912	1,912.25	5/31/1912	9.705	1,463.47	457.37	805.94	1,463.47	20.67	13.6544	0.48%	-2.28%	-2.59%	0.48%	0.00%	-2.94%
5	1912	1,912.33	6/30/1912	9.705	1,464.71	458.45	808.86	1,464.71	20.67	13.6170	0.09%	0.24%	0.36%	0.09%	0.00%	0.00%
6	1912	1,912.42	7/31/1912	9.610	1,473.61	458.78	811.79	1,473.61	20.67	13.7854	1.60%	1.06%	1.36%	1.60%	0.00%	0.99%
7	1912	1,912.50	8/31/1912	9.610	1,481.00	460.12	814.74	1,481.00	20.67	13.8029	0.50%	0.29%	0.36%	0.50%	0.00%	0.00%
8	1912	1,912.58	9/30/1912	9.705	1,520.82	459.44	817.69	1,520.82	20.67	13.9848	1.68%	-1.13%	-0.62%	1.68%	0.00%	-0.98%
9	1912	1,912.67	10/31/1912	9.800	1,534.39	461.80	820.65	1,534.39	20.67	13.9263	-0.09%	-0.46%	-0.61%	-0.09%	0.00%	-0.97%
10	1912	1,912.75	11/30/1912	9.800	1,537.15	462.91	823.63	1,537.15	20.67	13.9051	0.18%	0.24%	0.36%	0.18%	0.00%	0.00%
11	1912	1,912.83	12/31/1912	9.800	1,525.86	464.53	826.61	1,525.86	20.67	13.7495	-0.73%	0.35%	0.36%	-0.73%	0.00%	0.00%
12	1912	1,912.92	1/31/1913	9.705	1,476.92	465.37	829.61	1,476.92	20.67	13.3890	-2.26%	1.16%	1.35%	-2.26%	0.00%	0.98%
1	1913	1,913.00	2/28/1913	9.800	1,470.26	466.73	833.52	1,470.26	20.67	13.1481	-1.42%	-0.68%	-0.50%	-1.42%	0.00%	-0.97%
2	1913	1,913.08	3/31/1913	9.800	1,423.93	468.86	837.44	1,423.93	20.67	12.6830	-3.15%	0.46%	0.47%	-3.15%	0.00%	0.00%
3	1913	1,913.17	4/30/1913	9.800	1,402.92	469.46	841.38	1,402.92	20.67	12.4435	-1.48%	0.13%	0.47%	-1.48%	0.00%	0.00%
4	1913	1,913.25	5/31/1913	9.800	1,407.31	469.28	845.35	1,407.31	20.67	12.4331	0.31%	-0.04%	0.47%	0.31%	0.00%	0.00%
5	1913	1,913.33	6/30/1913	9.700	1,374.92	473.76	849.33	1,374.92	20.67	12.2214	-1.29%	1.99%	1.51%	-1.29%	0.00%	1.03%
6	1913	1,913.42	7/31/1913	9.800	1,311.91	474.10	853.32	1,311.91	20.67	11.4920	-5.56%	-0.95%	-0.55%	-5.56%	0.00%	-1.02%
7	1913	1,913.50	8/31/1913	9.900	1,335.88	464.06	857.34	1,335.88	20.67	11.5340	0.80%	-3.11%	-0.54%	0.80%	0.00%	-1.01%
8	1913	1,913.58	9/30/1913	9.900	1,377.79	463.36	861.38	1,377.79	20.67	11.8468	3.14%	-0.15%	0.47%	3.14%	0.00%	0.00%
9	1913	1,913.67	10/31/1913	10.000	1,397.06	462.66	865.43	1,397.06	20.67	11.8433	0.38%	-1.15%	-0.53%	0.38%	0.00%	-1.00%
10	1913	1,913.75	11/30/1913	10.000	1,358.84	460.66	869.51	1,358.84	20.67	11.4715	-2.74%	-0.43%	0.47%	-2.74%	0.00%	0.00%
11	1913	1,913.83	12/31/1913	10.100	1,330.58	467.58	873.60	1,330.58	20.67	11.0725	-3.05%	0.50%	-0.52%	-3.05%	0.00%	-0.99%
12	1913	1,913.92	1/31/1914	10.000	1,334.89	473.21	877.72	1,334.89	20.67	11.1740	1.33%	2.22%	1.48%	1.33%	0.00%	1.00%
1	1914	1,914.00	2/28/1914	10.000	1,395.59	478.85	881.11	1,395.59	20.67	11.6361	4.55%	1.19%	0.39%	4.55%	0.00%	0.00%
2	1914	1,914.08	3/31/1914	9.900	1,419.93	481.61	884.52	1,419.93	20.67	11.9102	2.77%	1.59%	1.40%	2.77%	0.00%	1.01%
3	1914	1,914.17	4/30/1914	9.900	1,399.06	480.62	887.94	1,399.06	20.67	11.6855	-1.47%	-0.21%	0.39%	-1.47%	0.00%	0.00%
4	1914	1,914.25	5/31/1914	9.800	1,371.35	478.31	891.37	1,371.35	20.67	11.5227	-0.98%	0.54%	1.41%	-0.98%	0.00%	1.02%
5	1914	1,914.33	6/30/1914	9.900	1,385.73	479.21	894.82	1,385.73	20.67	11.4790	0.03%	-0.82%	-0.63%	0.03%	0.00%	-1.01%
6	1914	1,914.42	7/31/1914	9.900	1,384.77	479.01	898.28	1,384.77	20.67	11.4287	-0.07%	-0.04%	0.39%	-0.07%	0.00%	0.00%
7	1914	1,914.50	8/31/1914	10.000	1,313.92	477.76	901.75	1,313.92	20.67	10.6943	-6.07%	-1.26%	-0.62%	-6.07%	0.00%	-1.00%
8	1914	1,914.58	9/30/1914	10.200	1,204.61	479.19	905.24	1,204.61	20.67	9.5767	-10.12%	-1.67%	-1.58%	-10.12%	0.00%	-1.96%
9	1914	1,914.67	10/31/1914	10.200	1,209.95	480.65	908.74	1,209.95	20.67	9.5844	0.44%	0.30%	0.39%	0.44%	0.00%	0.00%
10	1914	1,914.75	11/30/1914	10.100	1,149.09	482.10	912.25	1,149.09	20.67	9.1590	-4.09%	1.29%	1.38%	-4.09%	0.00%	0.99%
11	1914	1,914.83	12/31/1914	10.200	1,198.59	483.56	915.78	1,198.59	20.67	9.4255	3.29%	-0.68%	-0.60%	3.29%	0.00%	-0.98%
12	1914	1,914.92	1/31/1915	10.100	1,285.78	481.74	919.32	1,285.78	20.67	10.1722	8.34%	0.61%	1.38%	8.34%	0.00%	0.99%
1	1915	1,915.00	2/28/1915	10.100	1,314.61	484.29	922.12	1,314.61	20.67	10.3598	2.24%	0.53%	0.30%	2.24%	0.00%	0.00%
2	1915	1,915.08	3/31/1915	10.000	1,303.17	485.75	924.92	1,303.17	20.67	10.3298	0.12%	1.31%	1.31%	0.12%	0.00%	1.00%
3	1915	1,915.17	4/30/1915	9.900	1,342.73	491.09	927.73	1,342.73	20.67	10.7070	4.08%	2.12%	1.32%	4.08%	0.00%	1.01%
4	1915	1,915.25	5/31/1915	10.000	1,449.89	494.23	930.56	1,449.89	20.67	11.4011	6.90%	-0.37%	-0.70%	6.90%	0.00%	-1.00%
5	1915	1,915.33	6/30/1915	10.100	1,422.13	494.60	933.39	1,422.13	20.67	11.0269	-2.89%	-0.92%	-0.69%	-2.89%	0.00%	-0.99%
6	1915	1,915.42	7/31/1915	10.100	1,444.33	494.71	936.23	1,444.33	20.67	11.1543	1.56%	0.02%	0.30%	1.56%	0.00%	0.00%
7	1915	1,915.50	8/31/1915	10.100	1,444.95	490.34	939.07	1,444.95	20.67	11.1136	0.04%	-0.88%	0.30%	0.04%	0.00%	0.00%
8	1915	1,915.58	9/30/1915	10.100	1,512.36	496.86	941.93	1,512.36	20.67	11.5848	4.67%	1.33%	0.30%	4.67%	0.00%	0.00%
9	1915	1,915.67	10/31/1915	10.100	1,574.60	494.99	944.80	1,574.60	20.67	12.0116	4.12%	-0.38%	0.30%	4.12%	0.00%	0.00%
10	1915	1,915.75	11/30/1915	10.200	1,667.98	494.80	947.67	1,667.98	20.67	12.5491	4.89%	-1.02%	-0.68%	4.89%	0.00%	-0.98%
11	1915	1,915.83	12/31/1915	10.300	1,732.48	498.01	950.55	1,732.48	20.67	12.8577	2.86%	-0.33%	-0.67%	2.86%	0.00%	-0.97%
12	1915	1,915.92	1/31/1916	10.300	1,742.39	503.50	953.44	1,742.39	20.67	12.8784	0.57%	1.10%	0.30%	0.57%	0.00%	0.00%
1	1916	1,916.00	2/29/1916	10.400	1,721.23	503.86	956.33	1,721.23	20.67	12.5436	-2.16%	-0.89%	-0.66%	-2.16%	0.00%	-0.96%
2	1916	1,916.08	3/31/1916	10.400	1,703.66	510.53	959.24	1,703.66	20.67	12.3547	-1.02%	1.32%	0.30%	-1.02%	0.00%	0.00%
3	1916	1,916.17	4/30/1916	10.500	1,705.40	514.34	962.15	1,705.40	20.67	12.1771	-0.85%	-0.21%	-0.65%	-0.85%	0.00%	-0.95%
4	1916	1,916.25	5/31/1916	10.600	1,694.11	514.72	965.06	1,694.11	20.67	11.9065	-1.60%	-0.87%	-0.64%	-1.60%	0.00%	-0.94%
5	1916	1,916.33	6/30/1916	10.700	1,738.82	517.41	967.99	1,738.82	20.67	12.0263	1.68%	-0.42%	-0.63%	1.68%	0.00%	-0.93%
6	1916	1,916.42	7/31/1916	10.800	1,763.69	514.62	970.93	1,763.69	20.67	11.9960	0.49%	-1.46%	-0.63%	0.49%	0.00%	-0.93%
7	1916	1,916.50	8/31/1916	10.800	1,747.33	512.97	973.87	1,747.33	20.67	11.7912	-0.93%	-0.32%	0.30%	-0.93%	0.00%	0.00%
8	1916	1,916.58	9/30/1916	10.900	1,768.83	515.69	976.83	1,768.83	20.67	11.7321	0.30%	-0.39%	-0.62%	0.30%	0.00%	-0.92%
9	1916	1,916.67	10/31/1916	11.100	1,849.54	518.40	979.79	1,849.54	20.67	11.9446	2.68%	-1.29%	-1.50%	2.68%	0.00%	-1.80%
10	1916	1,916.75	11/30/1916	11.300	1,915.41	519.96	982.76	1,915.41	20.67	12.0457	1.73%	-1.47%	-1.47%	1.73%	0.00%	-1.77%
11	1916	1,916.83	12/31/1916	11.500	1,968.14	518.60	985.74	1,968.14	20.67	12.0532	0.97%	-2.00%	-1.44%	0.97%	0.00%	-1.74%
12	1916	1,916.92	1/31/1917	11.600	1,898.13	522.52	988.73	1,898.13	20.67	11.4136	-4.39%	-0.11%	-0.56%	-4.39%	0.00%	-0.86%
1	1917	1,917.00	2/28/1917	11.700	1,861.44	521.73	992.23	1,861.44	20.67	10.9809	-2.77%	-1.00%	-0.50%	-2.77%	0.00%	-0.85%
2	1917	1,917.08	3/31/1917	12.000	1,767.93	525.98	995.75	1,767.93	20.67	10.0632	-7.40%	-1.71%	-2.15%	-7.40%	0.00%	-2.50%
3	1917	1,917.17	4/30/1917	12.000	1,832.71	515.98	999.28	1,832.71	20.67	10.3272	3.66%	-1.90%	0.35%	3.66%	0.00%	0.00%
4	1917	1,917.25	5/31/1917	12.600	1,815.17	515.78	1,002.81	1,815.17	20.67	9.6445	-5.67%	-4.80%	-4.42%	-5.67%	0.00%	-4.76%
5	1917	1,917.33	6/30/1917	12.800	1,763.91	507.23	1,006.37	1,763.91	20.67	9.1390	-4.34%	-3.19%	-1.21%	-4.34%	0.00%	-1.56%
6	1917	1,917.42	7/31/1917	13.000	1,810.36	504.63	1,009.93	1,810.36	20.67	9.1482	1.05%	-2.04%	-1.19%	1.05%	0.00%	-1.54%
7	1917	1,917.50	8/31/1917	12.800	1,771.17	506.83	1,013.51	1,771.17	20.67	9.0035	-0.64%	2.01%	1.92%	-0.64%	0.00%	1.56%
8	1917	1,917.58	9/30/1917	13.000	1,729.56	507.84	1,017.10	1,729.56	20.67	8.5727	-3.85%	-1.34%	-1.19%	-3.85%	0.00%	-1.54%
9	1917	1,917.67	10/31/1917	13.300	1,657.31	514.60	1,020.70	1,657.31	20.67	7.9508	-6.34%	-0.96%	-1.91%	-6.34%	0.00%	-2.26%
10	1917	1,917.75	11/30/1917	13.500	1,578.45	513.47	1,024.31	1,578.45	20.67	7.3871	-6.17%	-1.70%	-1.13%	-6.17%	0.00%	-1.48%
11	1917	1,917.83	12/31/1917	13.500	1,457.85	515.09	1,027.94	1,457.85	20.67	6.7530	-7.64%	0.32%	0.35%	-7.64%	0.00%	0.00%
12	1917	1,917.92	1/31/1918	13.700	1,419.06	510.63	1,031.58	1,419.06	20.67	6.4126	-4.08%	-2.31%	-1.11%	-4.08%	0.00%	-1.46%
1	1918	1,918.00	2/28/1918	14.000	1,532.27	513.47	1,036.72	1,532.27	20.67	6.8156	5.66%	-1.60%	-1.66%	5.66%	0.00%	-2.14%
2	1918	1,918.08	3/31/1918	14.100	1,574.49	517.58	1,041.89	1,574.49	20.67	6.7355	2.03%	0.08%	-0.21%	2.03%	0.00%	-0.71%
3	1918	1,918.17	4/30/1918	14.000	1,524.69	520.51	1,047.08	1,524.69	20.67	6.6237	-2.47%	1.29%	1.22%	-2.47%	0.00%	0.71%
4	1918	1,918.25	5/31/1918	14.200	1,554.82	522.74	1,052.30	1,554.82	20.67	6.5436	0.54%	-0.99%	-0.92%	0.54%	0.00%	-1.41%
5	1918	1,918.33	6/30/1918	14.500	1,590.12	524.69	1,057.54	1,590.12	20.67	6.5470	0.15%	-1.70%	-1.58%	0.15%	0.00%	-2.07%
6	1918	1,918.42	7/31/1918	14.700	1,635.96	531.62	1,062.81	1,635.96	20.67	6.5552	1.48%	-0.06%	-0.87%	1.48%	0.00%	-1.36%
7	1918	1,918.50	8/31/1918	15.100	1,636.11	533.94	1,068.11	1,636.11	20.67	6.3578	-2.64%	-2.22%	-2.16%	-2.64%	0.00%	-2.65%
8	1918	1,918.58	9/30/1918	15.400	1,682.61	536.20	1,073.43	1,682.61	20.67	6.3784	0.84%	-1.53%	-1.46%	0.84%	0.00%	-1.95%
9	1918	1,918.67	10/31/1918	15.700	1,664.49	536.62	1,078.78	1,664.49	20.67	6.2365	-2.97%	-1.83%	-1.42%	-2.97%	0.00%	-1.91%
10	1918	1,918.75	11/30/1918	16.000	1,760.80	536.44	1,084.16	1,760.80	20.67	6.5249	3.80%	-1.91%	-1.39%	3.80%	0.00%	-1.88%
11	1918	1,918.83	12/31/1918	16.300	1,744.79	540.95	1,089.56	1,744.79	20.67	6.2307	-2.73%	-1.01%	-1.35%	-2.73%	0.00%	-1.84%
12	1918	1,918.92	1/31/1919	16.500	1,781.67	534.08	1,094.99	1,781.67	20.67	6.1482	0.88%	-2.47%	-0.72%	0.88%	0.00%	-1.21%
1	1919	1,919.00	2/28/1919	16.500	1,763.08	535.78	1,100.06	1,763.08	20.67	6.0596	-1.04%	0.32%	0.46%	-1.04%	0.00%	0.00%
2	1919	1,919.08	3/31/1919	16.200	1,832.45	534.93	1,105.16	1,832.45	20.67	6.3161	5.86%	1.69%	2.32%	5.86%	0.00%	1.85%
3	1919	1,919.17	4/30/1919	16.400	1,852.92	535.78	1,110.28	1,852.92	20.67	6.4463	-0.12%	-1.06%	-0.76%	-0.12%	0.00%	-1.22%
4	1919	1,919.25	5/31/1919	16.700	1,959.86	538.31	1,115.43	1,959.86	20.67	6.5543	3.87%	-1.33%	-1.34%	3.87%	0.00%	-1.80%
5	1919	1,919.33	6/30/1919	16.900	2,129.58	542.52	1,120.59	2,129.58	20.67	7.0131	7.37%	-0.41%	-0.73%	7.37%	0.00%	-1.18%
6	1919	1,919.42	7/31/1919	16.900	2,078.81	543.79	1,125.79	2,078.81	20.67	7.1216	-2.38%	0.23%	0.46%	-2.38%	0.00%	0.00%
7	1919	1,919.50	8/31/1919	17.400	2,216.64	544.65	1,131.00	2,216.64	20.67	6.7618	3.57%	-2.72%	-2.42%	3.57%	0.00%	-2.87%
8	1919	1,919.58	9/30/1919	17.700	2,053.06	544.26	1,136.24	2,053.06	20.67	6.6428	-8.95%	-1.77%	-1.24%	-8.95%	0.00%	-1.69%
9	1919	1,919.67	10/31/1919	17.800	2,103.47	548.55	1,141.51	2,103.47	20.67	6.7396	1.88%	0.22%	-0.10%	1.88%	0.00%	-0.56%
10	1919	1,919.75	11/30/1919	18.100	2,273.36	551.56	1,146.80	2,273.36	20.67	6.9470	6.29%	-1.12%	-1.20%	6.29%	0.00%	-1.66%
11	1919	1,919.83	12/31/1919	18.500	2,149.02	549.46	1,152.11	2,149.02	20.67	6.2340	-7.51%	-2.54%	-1.71%	-7.51%	0.00%	-2.16%
12	1919	1,919.92	1/31/1920	18.900	2,150.03	547.83	1,157.45	2,150.03	20.67	6.2322	-2.07%	-2.41%	-1.66%	-2.07%	0.00%	-2.12%
1	1920	1,920.00	2/29/1920	19.300	2,097.67	548.80	1,164.49	2,097.67	20.67	5.6261	-4.46%	-1.90%	-1.48%	-4.46%	0.00%	-2.07%
2	1920	1,920.08	3/31/1920	19.500	1,952.27	545.98	1,171.57	1,952.27	20.67	5.4751	-7.89%	-1.53%	-0.42%	-7.89%	0.00%	-1.03%
3	1920	1,920.17	4/30/1920	19.700	2,154.50	546.59	1,178.70	2,154.50	20.67	5.9644	9.24%	-0.90%	-0.41%	9.24%	0.00%	-1.02%
4	1920	1,920.25	5/31/1920	20.300	2,007.56	540.95	1,185.87	2,007.56	20.67	5.4084	-9.57%	-3.96%	-2.37%	-9.57%	0.00%	-2.96%
5	1920	1,920.33	6/30/1920	20.600	1,937.22	530.99	1,193.08	1,937.22	20.67	5.1352	-4.91%	-3.27%	-0.86%	-4.91%	0.00%	-1.46%
6	1920	1,920.42	7/31/1920	20.900	1,929.86	535.09	1,200.34	1,929.86	20.67	5.0122	-1.81%	-0.67%	-0.84%	-1.81%	0.00%	-1.44%
7	1920	1,920.50	8/31/1920	20.800	1,893.72	536.33	1,207.64	1,893.72	20.67	4.9117	-1.40%	0.71%	1.09%	-1.40%	0.00%	0.48%
8	1920	1,920.58	9/30/1920	20.300	1,937.92	534.72	1,214.99	1,937.92	20.67	5.1450	4.85%	2.16%	3.09%	4.85%	0.00%	2.46%
9	1920	1,920.67	10/31/1920	20.000	1,937.92	547.19	1,222.38	1,937.92	20.67	5.3292	1.50%	3.87%	2.12%	1.50%	0.00%	1.50%
10	1920	1,920.75	11/30/1920	19.900	1,971.91	564.64	1,229.82	1,971.91	20.67	5.3847	2.27%	3.71%	1.11%	2.27%	0.00%	0.50%
11	1920	1,920.83	12/31/1920	19.800	1,823.00	561.39	1,237.30	1,823.00	20.67	4.9103	-7.08%	-0.07%	1.12%	-7.08%	0.00%	0.51%
12	1920	1,920.92	1/31/1921	19.400	1,726.70	555.67	1,244.83	1,726.70	20.67	4.8929	-3.33%	1.02%	2.68%	-3.33%	0.00%	2.06%
1	1921	1,921.00	2/28/1921	19.000	1,808.51	565.49	1,252.54	1,808.51	20.67	5.0599	6.94%	3.91%	2.74%	6.94%	0.00%	2.11%
2	1921	1,921.08	3/31/1921	18.400	1,803.68	565.78	1,260.31	1,803.68	20.67	5.1861	2.99%	3.31%	3.90%	2.99%	0.00%	3.26%
3	1921	1,921.17	4/30/1921	18.300	1,771.43	568.71	1,268.12	1,771.43	20.67	5.1853	-1.25%	1.07%	1.17%	-1.25%	0.00%	0.55%
4	1921	1,921.25	5/31/1921	18.100	1,820.91	572.52	1,275.99	1,820.91	20.67	5.5194	3.93%	1.78%	1.73%	3.93%	0.00%	1.10%
5	1921	1,921.33	6/30/1921	17.700	1,796.62	574.58	1,283.90	1,796.62	20.67	5.4593	0.90%	2.63%	2.89%	0.90%	0.00%	2.26%
6	1921	1,921.42	7/31/1921	17.600	1,673.89	576.21	1,291.86	1,673.89	20.67	5.2278	-6.30%	0.85%	1.19%	-6.30%	0.00%	0.57%
7	1921	1,921.50	8/31/1921	17.700	1,729.59	579.18	1,299.87	1,729.59	20.67	5.2910	2.74%	-0.05%	0.05%	2.74%	0.00%	-0.56%
8	1921	1,921.58	9/30/1921	17.700	1,704.88	583.51	1,307.93	1,704.88	20.67	5.1495	-1.43%	0.75%	0.62%	-1.43%	0.00%	0.00%
9	1921	1,921.67	10/31/1921	17.500	1,761.04	590.58	1,316.04	1,761.04	20.67	5.4268	4.47%	2.37%	1.77%	4.47%	0.00%	1.14%
10	1921	1,921.75	11/30/1921	17.500	1,811.36	606.51	1,324.19	1,811.36	20.67	5.5996	2.86%	2.70%	0.62%	2.86%	0.00%	0.00%
11	1921	1,921.83	12/31/1921	17.400	1,937.66	617.98	1,332.40	1,937.66	20.67	5.9540	7.59%	2.48%	1.20%	7.59%	0.00%	0.57%
12	1921	1,921.92	1/31/1922	17.300	1,978.77	628.62	1,340.67	1,978.77	20.67	6.0222	2.71%	2.31%	1.20%	2.71%	0.00%	0.58%
1	1922	1,922.00	2/28/1922	16.900	2,005.12	631.94	1,345.78	2,005.12	20.67	6.2618	3.73%	2.91%	2.76%	3.73%	0.00%	2.37%
2	1922	1,922.08	3/31/1922	16.900	2,076.45	631.79	1,350.92	2,076.45	20.67	6.6029	3.56%	-0.02%	0.38%	3.56%	0.00%	0.00%
3	1922	1,922.17	4/30/1922	16.700	2,154.48	638.68	1,356.07	2,154.48	20.67	7.1024	5.00%	2.30%	1.58%	5.00%	0.00%	1.20%
4	1922	1,922.25	5/31/1922	16.700	2,287.59	647.66	1,361.25	2,287.59	20.67	7.5145	6.18%	1.41%	0.38%	6.18%	0.00%	0.00%
5	1922	1,922.33	6/30/1922	16.700	2,414.93	651.00	1,366.45	2,414.93	20.67	7.7605	5.57%	0.52%	0.38%	5.57%	0.00%	0.00%
6	1922	1,922.42	7/31/1922	16.700	2,324.24	654.35	1,371.66	2,324.24	20.67	7.5343	-3.76%	0.51%	0.38%	-3.76%	0.00%	0.00%
7	1922	1,922.50	8/31/1922	16.800	2,364.52	661.90	1,376.90	2,364.52	20.67	7.6930	1.13%	0.55%	-0.22%	1.13%	0.00%	-0.60%
8	1922	1,922.58	9/30/1922	16.600	2,543.48	665.24	1,382.15	2,543.48	20.67	8.2172	8.86%	1.72%	1.59%	8.86%	0.00%	1.20%
9	1922	1,922.67	10/31/1922	16.600	2,518.06	663.82	1,387.43	2,518.06	20.67	8.4142	-1.00%	-0.21%	0.38%	-1.00%	0.00%	0.00%
10	1922	1,922.75	11/30/1922	16.700	2,588.78	660.35	1,392.72	2,588.78	20.67	8.0668	2.19%	-1.12%	-0.22%	2.19%	0.00%	-0.60%
11	1922	1,922.83	12/31/1922	16.800	2,473.41	661.15	1,398.04	2,473.41	20.67	7.9341	-5.03%	-0.48%	-0.22%	-5.03%	0.00%	-0.60%
12	1922	1,922.92	1/31/1923	16.900	2,528.74	664.06	1,403.37	2,528.74	20.67	8.1856	1.63%	-0.15%	-0.21%	1.63%	0.00%	-0.59%
1	1923	1,923.00	2/28/1923	16.800	2,542.68	666.45	1,409.17	2,542.68	20.67	8.1165	1.15%	0.96%	1.01%	1.15%	0.00%	0.60%
2	1923	1,923.08	3/31/1923	16.800	2,719.12	668.32	1,415.00	2,719.12	20.67	8.6762	6.94%	0.28%	0.41%	6.94%	0.00%	0.00%
